Remote_Ratio,Tigon,Tigon (NoSharedReader),Tigon (NonTemporal),Tigon (NoSWcc)
0,1522990.0,1525670.0,1525360.0,1522990.0
10,1091310.0,928458.0,367459.0,1057320.0
20,988117.0,766403.0,337578.0,950214.0
30,920563.0,665308.0,327286.0,892294.0
40,867921.0,591281.0,323126.0,857310.0
50,826973.0,538899.0,322227.0,833049.0
60,798136.0,496787.0,321786.0,812348.0
70,774295.0,465309.0,322228.0,796019.0
80,754310.0,440469.0,323031.0,783166.0
90,738684.0,420079.0,323915.0,772624.0
100,725632.0,405434.0,324376.0,764808.0
